,addl_dataset,hidden_layers,latent_dim,learning_rate,cov_embed_dim,max_epochs,layers,dropout_rate,kl_divergence_weight,weight_decay,seed,r2_dbdb,shared_top_genes_dbdb,scores_corr_dbdb,pvals_adj_corr_dbdb,scores_ranks_corr_dbdb,shared_top_genes_dbdb_pancreatic_A_cell,scores_corr_dbdb_pancreatic_A_cell,pvals_adj_corr_dbdb_pancreatic_A_cell,scores_ranks_corr_dbdb_pancreatic_A_cell,shared_top_genes_dbdb_pancreatic_D_cell,scores_corr_dbdb_pancreatic_D_cell,pvals_adj_corr_dbdb_pancreatic_D_cell,scores_ranks_corr_dbdb_pancreatic_D_cell,shared_top_genes_dbdb_type_B_pancreatic_cell,scores_corr_dbdb_type_B_pancreatic_cell,pvals_adj_corr_dbdb_type_B_pancreatic_cell,scores_ranks_corr_dbdb_type_B_pancreatic_cell,r2_mSTZ,shared_top_genes_mSTZ,scores_corr_mSTZ,pvals_adj_corr_mSTZ,scores_ranks_corr_mSTZ,shared_top_genes_mSTZ_pancreatic_A_cell,scores_corr_mSTZ_pancreatic_A_cell,pvals_adj_corr_mSTZ_pancreatic_A_cell,scores_ranks_corr_mSTZ_pancreatic_A_cell,shared_top_genes_mSTZ_pancreatic_D_cell,scores_corr_mSTZ_pancreatic_D_cell,pvals_adj_corr_mSTZ_pancreatic_D_cell,scores_ranks_corr_mSTZ_pancreatic_D_cell,shared_top_genes_mSTZ_type_B_pancreatic_cell,scores_corr_mSTZ_type_B_pancreatic_cell,pvals_adj_corr_mSTZ_type_B_pancreatic_cell,scores_ranks_corr_mSTZ_type_B_pancreatic_cell
392,train_adata_baseline_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.4,0.005,0.0001,42,0.4228740683935782,0.304,0.06651481713102923,-0.0180507973945153,0.17581934531326057,0.535,0.2482802778877598,-0.03999913980392665,0.45663833607092613,0.499,0.217286703335475,-0.014323742422884358,0.30725162613906953,0.256,-0.00964336723608289,-0.04813475191924315,0.09639871471096828,0.5942967716870148,0.228,0.025748771608822715,-0.056129808351659385,0.08302037544670837,0.455,0.14666060733825576,-0.038841288782915484,0.17060958917884322,0.403,0.15686528710827505,0.05952056182646427,0.20140093037788112,0.22,-0.026352420683243193,-0.10633463746698255,-0.009682196186910685
393,embedding_top50_human_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.3,0.005,0.0001,44,0.6033030152422011,0.277,0.11696847645249965,-0.033473028478542166,0.17390873710097074,0.513,0.23530047105642768,-0.04344043266610165,0.4535934370659374,0.497,0.25046284348504955,-0.02404275767904859,0.37991885465765046,0.315,0.12481405596684643,-0.03805378367700204,0.24601001444555712,0.8647802673902368,0.22,0.09534839018388783,-0.058277494977923776,0.16233292425921378,0.458,0.13024669687150614,-0.04205074128595996,0.20160549262283248,0.395,0.11928462594355113,0.012507901318193463,0.10637413181934796,0.291,0.04951914417446451,-0.019695465958531767,0.1692470312496701
394,extra_mouse_T1D_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.4,0.005,0.001,42,0.6237715319570634,0.323,0.0758754538153931,-0.037067735814400725,0.18243278649253178,0.476,0.1763421655394826,-0.028627829279513118,0.39283008231445354,0.482,0.21978545994284232,-0.016791079227094344,0.3649395556599506,0.293,0.09438694957619283,-0.016758010334666045,0.17086359009595445,0.7170475954124389,0.249,0.018146879324202465,-0.03530275525430279,0.08383909198212132,0.44,0.12671370896856524,0.020376393675256683,0.2002597675844186,0.387,0.10265865633789535,0.04942573805038455,0.14150955572328394,0.243,0.038873015878205415,-0.04047347470324472,0.08490210010023333
395,extra_mouse_chem_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.3,0.005,0.0001,43,0.7682866803033503,0.294,0.06895453772606805,-0.0186875293450389,0.1545507589500843,0.506,0.214021559750384,-0.07109753963025946,0.40850163872240425,0.477,0.21445267091837916,-0.0343179629598299,0.327609752845528,0.256,0.1327383729922632,-0.027337265303966428,0.16673851185983463,0.7494814844024418,0.231,0.03514359356521807,-0.06311316620135249,0.08174891574987951,0.454,0.10817449064176113,-0.024981926799426683,0.18029551381061265,0.373,0.05362847172054939,0.04040577470058453,0.06569399929933324,0.241,0.06842061835710984,-0.03324182895104325,0.09394742866082538
396,random_human_seed_43_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.4,0.005,0.0001,43,0.8610131114452406,0.312,0.08113084577929885,-0.027965792561864305,0.2576101206233467,0.543,0.2194493214430743,-0.07688700485132503,0.4752225181358353,0.504,0.23639179262079435,-0.029284184804757623,0.36226152425128044,0.292,0.0496842377005896,-0.040740612193729625,0.2431084727898303,0.9564348451854626,0.236,0.04010534088194013,-0.04439806040938902,0.21305594811732753,0.461,0.13046734985474356,0.0010453678562713856,0.18619043624338177,0.405,0.12386778217271026,0.013728454912188251,0.10569214818801645,0.274,0.0048853032189949425,-0.021289558986439253,0.1574815446090605
397,embedding_top50_mouse_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.3,0.005,0.0001,44,0.8643315825734343,0.286,0.080617074491315,-0.03680381085536264,0.22446852894094763,0.48,0.1806605125485897,0.010436329242440345,0.39261588051287555,0.494,0.21285080723756478,0.011585730601708706,0.35703450455938934,0.272,0.18152191777943208,-0.03575437745506691,0.21459923762213748,0.9304383575322935,0.239,0.023095808288381654,-0.05226029009687913,0.2155217799468644,0.441,0.14673443308656883,0.08101974958118081,0.22550824194536015,0.399,0.1360402797582089,0.12019667175774396,0.16222430824714534,0.301,0.07894817366910699,-0.03340504950345389,0.1815327655036406
398,extra_mouse_Embryonic_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,8,0.3,0.005,0.0001,43,0.794544616752451,0.298,0.06752565726869922,-0.023044909376578722,0.20750901416766823,0.532,0.21570849883228493,-0.09677967869425609,0.4667642625293624,0.496,0.2322077291699453,-0.01583317507369488,0.32978510997612326,0.255,-0.0037332179158763557,-0.04470828479339569,0.12322375413597265,0.9085621926896231,0.219,0.033612238933805924,-0.04698236491157352,0.16067511963056882,0.468,0.13441114901963985,-0.06951570239961878,0.1710008376667597,0.403,0.15218808023791483,0.04027761421718475,0.18419943735549302,0.212,-0.024742757859109715,-0.06996651883055689,0.012814727201636353
399,extra_mouse_T1D_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.4,0.005,0.001,42,0.6223903528799785,0.284,0.09844535850453282,-0.012989083465296184,0.17809060112117792,0.518,0.255983820574309,-0.011931202939236815,0.433378981042109,0.513,0.24172987570633128,-0.04063874712958458,0.3952256368028485,0.25,0.09228750605110703,-0.03234833900085393,0.16513828279314252,0.7827123266093782,0.214,0.03973064749209343,-0.05084795359235696,0.09017951313105699,0.465,0.14233113919226445,-0.006894506254031884,0.20991869043541,0.392,0.10230592792452928,-0.018726700854182692,0.08414109334901036,0.218,0.020136874751661437,-0.06428452113887431,0.08136760237417803
400,train_adata_baseline_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.3,0.005,0.0001,43,0.6206217504341598,0.296,0.08448182803275012,-0.02011890761660596,0.1729811014423446,0.529,0.2572601104031201,-0.08144769988332214,0.46886306498478497,0.497,0.21818971741704585,-0.017408822207911567,0.3406801365200151,0.259,0.020999968860833343,-0.06340785838855258,0.1883131467014607,0.7134288995011073,0.214,0.021417355174804226,-0.0442632189397656,0.051324304369367135,0.463,0.1451630659577456,-0.06844839806498798,0.17709714723301634,0.389,0.12223610424144407,0.010315971423494082,0.09645115116123901,0.232,-0.0006369292566238041,-0.08546885720568988,0.09998099688677742
401,embedding_top30_human_3000hvg.h5ad.h5ad,1000,512,0.0001,10,1500,6,0.3,0.005,0.001,43,0.7907083233490279,0.276,0.08944796666143102,-0.030925870225310067,0.2011084112342679,0.503,0.22742768471530553,-0.0541062902711579,0.42336165948462884,0.489,0.2511646212404112,-0.03575132178887084,0.3624645536071726,0.256,0.06321332599256661,-0.028466854139404422,0.13651432939048103,0.8916694736065497,0.216,0.06916668869999353,-0.050218022940102185,0.14478650319850034,0.458,0.1596140199091687,-0.03270499867021739,0.2436364670707185,0.401,0.11554196952968822,-0.029439565768004692,0.0997577764175307,0.229,0.029534393850591024,-0.05088937351198022,0.0647367396374155
